Match Number,Date & Time,Venue,Team 1,Team 1 Score,Team 2,Team 2 Score,winner,winning_margin
22,"APR, TUE 8 , 7:30 pm IST","New PCA Stadium,",Punjab Kings,219/6,Chennai Super Kings,201/5,PUNJAB KINGS,18 RUNS
21,"APR, TUE 8 , 3:30 pm IST","Eden Gardens,",Kolkata Knight Riders,234/7,Lucknow Super Giants,238/3,LUCKNOW SUPER GIANTS,4 RUNS
20,"APR, MON 7 , 7:30 pm IST","Wankhede Stadium,",Mumbai Indians,209/9,Royal Challengers Bengaluru,221/5,ROYAL CHALLENGERS BENGALURU,12 RUNS
19,"APR, SUN 6 , 7:30 pm IST","Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,152/8,Gujarat Titans,153/3,GUJARAT TITANS,7 WICKETS
18,"APR, SAT 5 , 7:30 pm IST","New PCA Stadium,",Punjab Kings,155/9,Rajasthan Royals,205/4,RAJASTHAN ROYALS,50 RUNS
17,"APR, SAT 5 , 3:30 pm IST","MA Chidambaram Stadium,",Chennai Super Kings,158/5,Delhi Capitals,183/6,DELHI CAPITALS,25 RUNS
16,"APR, FRI 4 , 7:30 pm IST","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,203/8,Mumbai Indians,191/5,LUCKNOW SUPER GIANTS,12 RUNS
15,"APR, THU 3 , 7:30 pm IST","Eden Gardens,",Kolkata Knight Riders,200/6,Sunrisers Hyderabad,120,KOLKATA KNIGHT RIDERS,80 RUNS
14,"APR, WED 2 , 7:30 pm IST","M Chinnaswamy Stadium,",Royal Challengers Bengaluru,169/8,Gujarat Titans,170/2,GUJARAT TITANS,8 WICKETS
13,"APR, TUE 1 , 7:30 pm IST","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,171/7,Punjab Kings,177/2,PUNJAB KINGS,8 WICKETS
12,"MAR, MON 31 , 7:30 pm IST","Wankhede Stadium,",Mumbai Indians,121/2,Kolkata Knight Riders,116,MUMBAI INDIANS,8 WICKETS
11,"MAR, SUN 30 , 7:30 pm IST","ACA Stadium,",Rajasthan Royals,182/9,Chennai Super Kings,176/6,RAJASTHAN ROYALS,6 RUNS
10,"MAR, SUN 30 , 3:30 pm IST","Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium,",Delhi Capitals,166/3,Sunrisers Hyderabad,163,DELHI CAPITALS,7 WICKETS
9,"MAR, SAT 29 , 7:30 pm IST","Narendra Modi Stadium,",Gujarat Titans,196/8,Mumbai Indians,160/6,GUJARAT TITANS,36 RUNS
8,"MAR, FRI 28 , 7:30 pm IST","MA Chidambaram Stadium,",Chennai Super Kings,146/8,Royal Challengers Bengaluru,196/7,ROYAL CHALLENGERS BENGALURU,50 RUNS
7,"MAR, THU 27 , 7:30 pm IST","Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,190/9,Lucknow Super Giants,193/5,LUCKNOW SUPER GIANTS,5 WICKETS
6,"MAR, WED 26 , 7:30 pm IST","ACA Stadium,",Rajasthan Royals,151/9,Kolkata Knight Riders,153/2,KOLKATA KNIGHT RIDERS,8 WICKETS
5,"MAR, TUE 25 , 7:30 pm IST","Narendra Modi Stadium,",Gujarat Titans,232/5,Punjab Kings,243/5,PUNJAB KINGS,11 RUNS
4,"MAR, MON 24 , 7:30 pm IST","Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium,",Delhi Capitals,211/9,Lucknow Super Giants,209/8,DELHI CAPITALS,1 WICKET
3,"MAR, SUN 23 , 7:30 pm IST","MA Chidambaram Stadium,",Chennai Super Kings,158/6,Mumbai Indians,155/9,CHENNAI SUPER KINGS,4 WICKETS
2,"MAR, SUN 23 , 3:30 pm IST","Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,286/6,Rajasthan Royals,242/6,SUNRISERS HYDERABAD,44 RUNS
1,"MAR, SAT 22 , 7:30 pm IST","Eden Gardens,",Kolkata Knight Riders,174/8,Royal Challengers Bengaluru,177/3,ROYAL CHALLENGERS BENGALURU,7 WICKETS
